RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,37,642741,639883,637145,636586,640426,645683,646463,645928,645304,647135,648861,652445
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,31,255073,254973,255281,255851,256395,256647,256695,256371,255282,254178,253630,253611
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,195887,196790,197125,196891,197088,197886,198810,199551,199576,200016,200267,200806
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,13,274562,275699,276772,277333,278480,280197,282408,284303,285678,287283,289038,291097
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,73,591734,589822,588928,592296,595239,599614,603052,604857,604680,603998,604804,606929
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,59,742565,740472,738763,738233,741179,744012,747811,748299,751352,752144,752559,752016
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,47,653842,655385,656763,657803,658689,659000,658840,656659,655025,653078,651050,649931
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,319523,318709,319090,319836,320251,321153,321721,322313,322416,323182,323815,323796
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,215045,216548,217879,218596,219140,219679,220256,221006,222151,221866,221747,220853
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,81,525321,527066,528952,529990,531157,530996,530367,529679,528405,528641,528078,527981
2832,10,Riverside County,County,CA,CA,Riverside-San Bernardino-Ontario,6,65,390235,391260,392998,393421,393619,394241,395368,396223,396100,397532,397946,400566
3250,11,San Bernardino County,County,CA,CA,Riverside-San Bernardino-Ontario,6,71,358364,358797,359544,360338,362781,364724,365681,365687,365871,366905,368370,369523
445,12,Clark County,County,NV,NV,Las Vegas-Henderson-Paradise,32,3,290753,292041,291861,292185,293256,294355,294257,292851,291159,290985,291948,292848
207,13,King County,County,WA,WA,Seattle-Tacoma-Bellevue,53,33,639308,634443,630186,627291,628193,629099,630816,630717,629990,628757,631843,639016
791,14,Wayne County,County,MI,MI,Detroit-Warren-Dearborn,26,163,106601,107105,107171,107492,108284,109419,110142,110399,110634,110860,111166,111192
2049,15,Tarrant County,County,TX,TX,Dallas-Fort Worth-Arlington,48,439,219012,219876,220427,220874,222021,222552,223096,223518,224432,225184,225731,226190
