county,candidate,party,candidatevotes,totalvotes
Adams,Hillary Clinton,democrat,96558,193665
Adams,Donald Trump,republican,80082,193665
Adams,Other,other,17025,193665
Alamosa,Hillary Clinton,democrat,3189,6939
Alamosa,Donald Trump,republican,3046,6939
Alamosa,Other,other,704,6939
Arapahoe,Hillary Clinton,democrat,159885,303046
Arapahoe,Donald Trump,republican,117053,303046
Arapahoe,Other,other,26108,303046
Archuleta,Hillary Clinton,democrat,2500,7339
Archuleta,Donald Trump,republican,4264,7339
Archuleta,Other,other,575,7339
Baca,Hillary Clinton,democrat,283,2153
Baca,Donald Trump,republican,1753,2153
Baca,Other,other,117,2153
Bent,Hillary Clinton,democrat,590,1927
Bent,Donald Trump,republican,1188,1927
Bent,Other,other,149,1927
Boulder,Hillary Clinton,democrat,132334,188142
Boulder,Donald Trump,republican,41396,188142
Boulder,Other,other,14412,188142
Broomfield,Hillary Clinton,democrat,19731,37689
Broomfield,Donald Trump,republican,14367,37689
Broomfield,Other,other,3591,37689
Chaffee,Hillary Clinton,democrat,4888,11250
Chaffee,Donald Trump,republican,5391,11250
Chaffee,Other,other,971,11250
Cheyenne,Hillary Clinton,democrat,132,1102
Cheyenne,Donald Trump,republican,925,1102
Cheyenne,Other,other,45,1102
Clear Creek,Hillary Clinton,democrat,2729,5866
Clear Creek,Donald Trump,republican,2575,5866
Clear Creek,Other,other,562,5866
Conejos,Hillary Clinton,democrat,1771,4022
Conejos,Donald Trump,republican,1914,4022
Conejos,Other,other,337,4022
Costilla,Hillary Clinton,democrat,1125,1848
Costilla,Donald Trump,republican,588,1848
Costilla,Other,other,135,1848
Crowley,Hillary Clinton,democrat,339,1527
Crowley,Donald Trump,republican,1079,1527
Crowley,Other,other,109,1527
Custer,Hillary Clinton,democrat,797,3066
Custer,Donald Trump,republican,2061,3066
Custer,Other,other,208,3066
Delta,Hillary Clinton,democrat,4087,16790
Delta,Donald Trump,republican,11655,16790
Delta,Other,other,1048,16790
Denver,Hillary Clinton,democrat,244551,331852
Denver,Donald Trump,republican,62690,331852
Denver,Other,other,24611,331852
Dolores,Hillary Clinton,democrat,242,1255
Dolores,Donald Trump,republican,944,1255
Dolores,Other,other,69,1255
Douglas,Hillary Clinton,democrat,68657,187499
Douglas,Donald Trump,republican,102573,187499
Douglas,Other,other,16269,187499
Eagle,Hillary Clinton,democrat,14099,25223
Eagle,Donald Trump,republican,8990,25223
Eagle,Other,other,2134,25223
Elbert,Hillary Clinton,democrat,3134,15978
Elbert,Donald Trump,republican,11705,15978
Elbert,Other,other,1139,15978
El Paso,Hillary Clinton,democrat,108010,318967
El Paso,Donald Trump,republican,179228,318967
El Paso,Other,other,31729,318967
Fremont,Hillary Clinton,democrat,5297,21973
Fremont,Donald Trump,republican,15122,21973
Fremont,Other,other,1554,21973
Garfield,Hillary Clinton,democrat,11271,26470
Garfield,Donald Trump,republican,13132,26470
Garfield,Other,other,2067,26470
Gilpin,Hillary Clinton,democrat,1634,3576
Gilpin,Donald Trump,republican,1566,3576
Gilpin,Other,other,376,3576
Grand,Hillary Clinton,democrat,3358,8588
Grand,Donald Trump,republican,4494,8588
Grand,Other,other,736,8588
Gunnison,Hillary Clinton,democrat,5128,9412
Gunnison,Donald Trump,republican,3289,9412
Gunnison,Other,other,995,9412
Hinsdale,Hillary Clinton,democrat,197,589
Hinsdale,Donald Trump,republican,339,589
Hinsdale,Other,other,53,589
Huerfano,Hillary Clinton,democrat,1633,3783
Huerfano,Donald Trump,republican,1883,3783
Huerfano,Other,other,267,3783
Jackson,Hillary Clinton,democrat,171,861
Jackson,Donald Trump,republican,629,861
Jackson,Other,other,61,861
Jefferson,Hillary Clinton,democrat,160776,328882
