COUNTY,MED_INCOME
Adams,67575
Alamosa,39191
Arapahoe,73925
Archuleta,50753
Baca,37500
Bent,34392
Boulder,78642
Broomfield,89624
Chaffee,54580
Cheyenne,55227
Clear Creek,69936
Conejos,34746
Costilla,30593
Crowley,37586
Custer,44644
Delta,44512
Denver,63793
Dolores,41714
Douglas,115314
Eagle,84685
El Paso,65334
Elbert,96658
Fremont,46296
Garfield,72898
Gilpin,75120
Grand,70469
Gunnison,54979
Hinsdale,52188
Huerfano,36705
Jackson,48828
Jefferson,78943
Kiowa,39784
Kit Carson,51046
La Plata,64372
Lake,46918
Larimer,67664
Las Animas,41945
Lincoln,49423
Logan,48922
Mesa,53683
Mineral,61058
Moffat,52807
Montezuma,46797
Montrose,48739
Morgan,51626
Otero,34136
Ouray,62230
Park,66861
Phillips,50724
Pitkin,71244
Prowers,40097
Pueblo,44634
Rio Blanco,55543
Rio Grande,38639
Routt,74273
Saguache,34410
San Juan,46563
San Miguel,64478
Sedgwick,45188
Summit,77589
Teller,65382
Washington,49375
Weld,70908
Yuma,48394
